,image,subject,scanner,type,view
703,freesurfer/s01-mil-ph-intera-501-mprage-20140516/s01-mil-ph-intera-501-mprage-20140516_x.png,s01,mil-intera-mprage,freesurfer,Sagittal
704,freesurfer/s01-mil-ph-intera-501-mprage-20140516/s01-mil-ph-intera-501-mprage-20140516_y.png,s01,mil-intera-mprage,freesurfer,Coronal
705,freesurfer/s07-mil-ph-intera-1201-mprage-20140514/s07-mil-ph-intera-1201-mprage-20140514_y.png,s07,mil-intera-mprage,freesurfer,Coronal
706,freesurfer/s07-mil-ph-intera-1201-mprage-20140514/s07-mil-ph-intera-1201-mprage-20140514_x.png,s07,mil-intera-mprage,freesurfer,Sagittal
707,freesurfer/s07-mil-ph-intera-1201-mprage-20140514/s07-mil-ph-intera-1201-mprage-20140514_z.png,s07,mil-intera-mprage,freesurfer,Axial
708,freesurfer/s11-ams-ge-discovery-3-fspgr-20140519/s11-ams-ge-discovery-3-fspgr-20140519_z.png,s11,ams-discovery-fspgr,freesurfer,Axial
709,freesurfer/s11-ams-ge-discovery-3-fspgr-20140519/s11-ams-ge-discovery-3-fspgr-20140519_y.png,s11,ams-discovery-fspgr,freesurfer,Coronal
710,freesurfer/s11-ams-ge-discovery-3-fspgr-20140519/s11-ams-ge-discovery-3-fspgr-20140519_x.png,s11,ams-discovery-fspgr,freesurfer,Sagittal
711,freesurfer/s08-bas-si-skyra-16-mprage-20140518/s08-bas-si-skyra-16-mprage-20140518_y.png,s08,bas-skyra-mprage,freesurfer,Coronal
712,freesurfer/s08-bas-si-skyra-16-mprage-20140518/s08-bas-si-skyra-16-mprage-20140518_x.png,s08,bas-skyra-mprage,freesurfer,Sagittal
713,freesurfer/s08-bas-si-skyra-16-mprage-20140518/s08-bas-si-skyra-16-mprage-20140518_z.png,s08,bas-skyra-mprage,freesurfer,Axial
714,freesurfer/s06-mil-ph-intera-901-sense-20140510/s06-mil-ph-intera-901-sense-20140510_z.png,s06,mil-intera-sense,freesurfer,Axial
715,freesurfer/s06-mil-ph-intera-901-sense-20140510/s06-mil-ph-intera-901-sense-20140510_x.png,s06,mil-intera-sense,freesurfer,Sagittal
716,freesurfer/s06-mil-ph-intera-901-sense-20140510/s06-mil-ph-intera-901-sense-20140510_y.png,s06,mil-intera-sense,freesurfer,Coronal
717,freesurfer/s05-osl-ge-signa-3-fspgr-20140522/s05-osl-ge-signa-3-fspgr-20140522_z.png,s05,osl-signa-fspgr,freesurfer,Axial
718,freesurfer/s05-osl-ge-signa-3-fspgr-20140522/s05-osl-ge-signa-3-fspgr-20140522_x.png,s05,osl-signa-fspgr,freesurfer,Sagittal
